"workout_date","exercise_name","muscle_group","category","set_number","weight","reps","rpe","tempo","rest_time_actual"
"2025-06-24","Lat Pulldowns","Back","Compound","1","130","12",,,
"2025-06-24","Lat Pulldowns","Back","Compound","2","130","15",,,
"2025-06-24","Lat Pulldowns","Back","Compound","3","145","11",,,
"2025-06-24","Smith Machine Barbell Rows","Back","Compound","1","165","5",,,
"2025-06-24","Smith Machine Barbell Rows","Back","Compound","2","145","9",,,
"2025-06-24","Smith Machine Barbell Rows","Back","Compound","3","145","9",,,
"2025-06-24","Face Pull","Shoulders","Isolation","1","55","16",,,
"2025-06-24","Face Pull","Shoulders","Isolation","2","65","13",,,
"2025-06-24","Face Pull","Shoulders","Isolation","3","65","14",,,
"2025-06-24","Dumbbell Bicep Curls","Biceps","Isolation","1","80","11",,,
"2025-06-24","Dumbbell Bicep Curls","Biceps","Isolation","2","80","13",,,
"2025-06-24","Dumbbell Bicep Curls","Biceps","Isolation","3","90","9",,,
"2025-06-24","Reverse EZ-Bar Curl","Biceps","Isolation","1","60","12",,,
"2025-06-24","Reverse EZ-Bar Curl","Biceps","Isolation","2","60","15",,,
"2025-06-24","Reverse EZ-Bar Curl","Biceps","Isolation","3","60","10",,,
"2025-06-25","Dips","Chest","Compound","1","225","6",,,
"2025-06-25","Dips","Chest","Compound","2","225","5",,,
"2025-06-25","Dips","Chest","Compound","3","225","6",,,
"2025-06-25","Dips","Chest","Compound","4","225","6",,,
"2025-06-25","Smith Machine Bench Press","Chest","Compound","1","165","8",,,
"2025-06-25","Smith Machine Bench Press","Chest","Compound","2","165","9",,,
"2025-06-25","Smith Machine Bench Press","Chest","Compound","3","175","6",,,
"2025-06-25","Smith Machine Bench Press","Chest","Compound","4","165","8",,,
"2025-06-25","Incline Dumbbell Bench","Chest","Compound","1","120","12",,,
"2025-06-25","Incline Dumbbell Bench","Chest","Compound","2","120","12",,,
"2025-06-25","Incline Dumbbell Bench","Chest","Compound","3","120","12",,,
"2025-06-25","Cable Crunch Machine","Core","Isolation","1","200","15",,,
"2025-06-25","Cable Crunch Machine","Core","Isolation","2","200","15",,,
"2025-06-25","Cable Crunch Machine","Core","Isolation","3","200","15",,,
"2025-06-25","Close-Grip Smith Machine Press","Triceps","Compound","1","95","20",,,
"2025-06-25","Close-Grip Smith Machine Press","Triceps","Compound","2","115","12",,,
"2025-06-25","Close-Grip Smith Machine Press","Triceps","Compound","3","135","8",,,
"2025-06-25","Triceps Rope Pushdown","Triceps","Isolation","1","55","13",,,
"2025-06-25","Triceps Rope Pushdown","Triceps","Isolation","2","55","11",,,
"2025-06-25","Triceps Rope Pushdown","Triceps","Isolation","3","50","14",,,
"2025-06-26","Dumbbell Lateral Raises","Shoulders","Isolation","1","30","12",,,
"2025-06-26","Dumbbell Lateral Raises","Shoulders","Isolation","2","60","12",,,
"2025-06-26","Dumbbell Lateral Raises","Shoulders","Isolation","3","60","14",,,
